,draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2,num1%3,num1/3,num2%3,num2/3,num3%3,num3/3,num4%3,num4/3,num5%3,num5/3,num6%3,num6/3,num7%3,num7/3,sup1%3,sup1/3,sup2%3,sup2/3
154,763,20080930,42,36,12,1,6,29,15,26,10,0,2,0,2,0,0,1,0,0,0,2,1,0,0,2,1,1,0
155,764,20081007,8,10,15,17,39,40,14,11,22,2,0,1,0,0,0,2,1,0,2,1,2,2,0,2,0,1,1
156,765,20081014,17,2,6,26,11,22,45,24,20,2,1,2,0,0,0,2,1,2,0,1,1,0,2,0,1,2,1
157,766,20081021,11,21,1,27,43,45,13,23,35,2,0,0,1,1,0,0,1,1,2,0,2,1,0,2,1,2,2
158,767,20081028,20,27,12,2,37,16,11,29,5,2,1,0,1,0,0,2,0,1,2,1,1,2,0,2,1,2,0
159,768,20081104,29,5,23,34,35,21,42,13,4,2,1,2,0,2,1,1,2,2,2,0,1,0,2,1,0,1,0
160,769,20081111,43,12,5,34,19,15,2,32,3,1,2,0,0,2,0,1,2,1,1,0,0,2,0,2,2,0,0
161,770,20081118,5,30,2,19,37,11,28,14,13,2,0,0,1,2,0,1,1,1,2,2,0,1,1,2,0,1,0
162,771,20081125,14,5,19,27,29,30,35,20,37,2,0,2,0,1,1,0,1,2,1,0,1,2,2,2,1,1,2
163,772,20081202,18,36,7,40,30,9,12,11,39,0,1,0,2,1,0,1,2,0,1,0,0,0,0,2,0,0,2
164,773,20081209,1,17,7,24,26,12,34,33,13,1,0,2,1,1,0,0,1,2,1,0,0,1,2,0,2,1,0
165,774,20081216,18,2,40,30,20,31,27,11,35,0,1,2,0,1,2,0,1,2,1,1,2,0,1,2,0,2,2
166,775,20081223,28,5,39,31,45,33,35,32,9,1,1,2,0,0,2,1,2,0,2,0,2,2,2,2,2,0,0
167,776,20081230,4,9,19,21,17,10,28,2,12,1,0,0,0,1,1,0,1,2,1,1,0,1,1,2,0,0,0
