draw_number,date,num1,num2,num3,num4,num5,num6,num7,sup1,sup2
1064,20140708,39,42,14,30,41,28,7,34,8
1065,20140715,14,10,37,22,1,29,3,15,13
1066,20140722,17,16,19,35,24,25,3,33,14
1067,20140729,43,15,30,38,10,1,31,22,35
1068,20140805,21,9,42,33,3,35,25,16,38
1069,20140812,32,41,5,37,3,29,43,16,36
1070,20140819,33,5,41,7,31,1,43,38,42
1071,20140826,4,26,3,12,2,17,32,22,8
1072,20140902,9,40,29,1,3,15,43,39,18
1073,20140909,44,38,28,43,25,15,23,8,41
1074,20140916,36,13,33,45,34,15,31,2,32
1075,20140923,43,39,6,16,15,35,22,40,2
1076,20140930,40,14,34,27,10,30,36,17,4
1077,20141007,6,15,23,28,20,19,3,2,31
1078,20141014,45,38,21,24,17,3,12,19,2
1079,20141021,17,19,6,14,32,34,25,41,5
1080,20141028,38,40,21,9,22,6,20,18,2
1081,20141104,25,14,13,31,23,18,21,38,2
1082,20141111,43,25,10,33,2,41,21,4,31
1083,20141118,29,38,44,14,37,28,30,9,34
1084,20141125,8,9,13,24,42,16,25,33,4
1085,20141202,1,45,35,36,29,15,21,19,40
1086,20141209,7,21,42,13,43,25,15,22,27
1087,20141216,25,21,11,42,20,45,4,23,1
1088,20141223,17,37,19,13,25,6,34,45,12
1089,20141230,35,41,7,43,26,4,19,31,23
1090,20150106,39,40,6,2,35,19,11,22,8
1091,20150113,24,44,40,33,36,23,38,20,37
1092,20150120,28,20,15,14,34,31,2,42,29
1093,20150127,40,7,35,31,9,30,1,13,39
1094,20150203,10,5,7,2,12,36,11,4,14
1095,20150210,6,42,36,39,40,32,44,38,28
1096,20150217,31,38,4,30,19,25,2,22,11
1097,20150224,3,4,21,31,23,18,6,26,37
1098,20150303,5,26,43,31,20,23,19,21,35
1099,20150310,25,22,5,36,27,45,3,44,41
1100,20150317,15,29,5,16,42,14,4,36,10
1101,20150324,4,33,16,28,45,11,24,44,41
1102,20150331,16,17,44,32,29,4,3,33,34
1103,20150407,42,14,26,11,22,10,36,45,34
1104,20150414,33,24,2,42,45,12,3,19,6
1105,20150421,25,8,2,28,33,37,10,1,41
1106,20150428,35,41,2,34,29,30,45,19,3
1107,20150505,37,2,17,18,29,45,21,11,38
1108,20150512,27,24,30,28,33,13,43,4,25
